"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","OECD"
"1973-01-01 00:00:00",101.9943
"1973-02-01 00:00:00",101.6766
"1973-03-01 00:00:00",101.3518
"1973-04-01 00:00:00",101.0325
"1973-05-01 00:00:00",100.777
"1973-06-01 00:00:00",100.6226
"1973-07-01 00:00:00",100.5675
"1973-08-01 00:00:00",100.5943
"1973-09-01 00:00:00",100.6028
"1973-10-01 00:00:00",100.4467
"1973-11-01 00:00:00",100.0237
"1973-12-01 00:00:00",99.48436
"1974-01-01 00:00:00",99.18217
"1974-02-01 00:00:00",99.12858
"1974-03-01 00:00:00",99.25066
"1974-04-01 00:00:00",99.38405
"1974-05-01 00:00:00",99.36554
"1974-06-01 00:00:00",99.20468
"1974-07-01 00:00:00",98.97701
"1974-08-01 00:00:00",98.7532
"1974-09-01 00:00:00",98.5516
"1974-10-01 00:00:00",98.39292
"1974-11-01 00:00:00",98.32174
"1974-12-01 00:00:00",98.34003
"1975-01-01 00:00:00",98.47626
"1975-02-01 00:00:00",98.71592
"1975-03-01 00:00:00",98.99484
"1975-04-01 00:00:00",99.24731
"1975-05-01 00:00:00",99.41466
"1975-06-01 00:00:00",99.51582
"1975-07-01 00:00:00",99.59488
"1975-08-01 00:00:00",99.64913
"1975-09-01 00:00:00",99.71554
"1975-10-01 00:00:00",99.86098
"1975-11-01 00:00:00",100.1286
"1975-12-01 00:00:00",100.4673
"1976-01-01 00:00:00",100.77
"1976-02-01 00:00:00",100.9248
"1976-03-01 00:00:00",100.9795
"1976-04-01 00:00:00",101.0112
"1976-05-01 00:00:00",101.0612
"1976-06-01 00:00:00",101.0916
"1976-07-01 00:00:00",101.0646
"1976-08-01 00:00:00",100.9686
"1976-09-01 00:00:00",100.847
"1976-10-01 00:00:00",100.7613
"1976-11-01 00:00:00",100.7701
"1976-12-01 00:00:00",100.8451
"1977-01-01 00:00:00",100.9373
"1977-02-01 00:00:00",100.9732
"1977-03-01 00:00:00",100.9439
"1977-04-01 00:00:00",100.8828
"1977-05-01 00:00:00",100.8574
"1977-06-01 00:00:00",100.9287
"1977-07-01 00:00:00",101.0588
"1977-08-01 00:00:00",101.1848
"1977-09-01 00:00:00",101.2999
"1977-10-01 00:00:00",101.4074
"1977-11-01 00:00:00",101.4925
"1977-12-01 00:00:00",101.5665
"1978-01-01 00:00:00",101.6085
"1978-02-01 00:00:00",101.5923
"1978-03-01 00:00:00",101.5334
"1978-04-01 00:00:00",101.5309
"1978-05-01 00:00:00",101.5557
"1978-06-01 00:00:00",101.5622
"1978-07-01 00:00:00",101.5761
"1978-08-01 00:00:00",101.5594
"1978-09-01 00:00:00",101.5464
"1978-10-01 00:00:00",101.4262
"1978-11-01 00:00:00",101.1748
"1978-12-01 00:00:00",100.9108
"1979-01-01 00:00:00",100.8155
"1979-02-01 00:00:00",100.7938
"1979-03-01 00:00:00",100.7316
"1979-04-01 00:00:00",100.6563
"1979-05-01 00:00:00",100.5591
"1979-06-01 00:00:00",100.373
"1979-07-01 00:00:00",100.1691
"1979-08-01 00:00:00",100.0528
"1979-09-01 00:00:00",99.93683
"1979-10-01 00:00:00",99.75852
"1979-11-01 00:00:00",99.59542
"1979-12-01 00:00:00",99.43604
"1980-01-01 00:00:00",99.28558
"1980-02-01 00:00:00",99.06054
"1980-03-01 00:00:00",98.75111
"1980-04-01 00:00:00",98.55115
"1980-05-01 00:00:00",98.53396
"1980-06-01 00:00:00",98.67825
"1980-07-01 00:00:00",98.90096
"1980-08-01 00:00:00",99.17847
"1980-09-01 00:00:00",99.39773
"1980-10-01 00:00:00",99.459
"1980-11-01 00:00:00",99.33154
"1980-12-01 00:00:00",99.10014
"1981-01-01 00:00:00",98.97829
"1981-02-01 00:00:00",98.85159
"1981-03-01 00:00:00",98.80023
"1981-04-01 00:00:00",98.86906
"1981-05-01 00:00:00",98.95984
"1981-06-01 00:00:00",98.93989
"1981-07-01 00:00:00",98.89413
"1981-08-01 00:00:00",98.83735
"1981-09-01 00:00:00",98.73663
"1981-10-01 00:00:00",98.59596
"1981-11-01 00:00:00",98.50584
"1981-12-01 00:00:00",98.57902
"1982-01-01 00:00:00",98.75285
"1982-02-01 00:00:00",98.81873
"1982-03-01 00:00:00",98.86754
"1982-04-01 00:00:00",98.9734
"1982-05-01 00:00:00",99.02327
"1982-06-01 00:00:00",98.96117
"1982-07-01 00:00:00",98.83394
"1982-08-01 00:00:00",98.76531
"1982-09-01 00:00:00",98.7776
"1982-10-01 00:00:00",98.83953
"1982-11-01 00:00:00",98.89281
"1982-12-01 00:00:00",98.96917
"1983-01-01 00:00:00",99.15517
"1983-02-01 00:00:00",99.49099
"1983-03-01 00:00:00",99.91922
"1983-04-01 00:00:00",100.2721
"1983-05-01 00:00:00",100.4644
"1983-06-01 00:00:00",100.5292
"1983-07-01 00:00:00",100.5413
"1983-08-01 00:00:00",100.5231
"1983-09-01 00:00:00",100.5018
"1983-10-01 00:00:00",100.5415
"1983-11-01 00:00:00",100.693
"1983-12-01 00:00:00",100.9042
"1984-01-01 00:00:00",101.071
"1984-02-01 00:00:00",101.0905
"1984-03-01 00:00:00",101.0263
"1984-04-01 00:00:00",100.8983
"1984-05-01 00:00:00",100.8
"1984-06-01 00:00:00",100.7514
"1984-07-01 00:00:00",100.8075
"1984-08-01 00:00:00",100.9104
"1984-09-01 00:00:00",100.9827
"1984-10-01 00:00:00",100.9671
"1984-11-01 00:00:00",100.9593
"1984-12-01 00:00:00",100.9825
"1985-01-01 00:00:00",101.0362
"1985-02-01 00:00:00",101.0096
"1985-03-01 00:00:00",100.9625
"1985-04-01 00:00:00",100.9299
"1985-05-01 00:00:00",100.9014
"1985-06-01 00:00:00",100.9147
"1985-07-01 00:00:00",100.9135
"1985-08-01 00:00:00",100.915
"1985-09-01 00:00:00",100.9507
"1985-10-01 00:00:00",101.022
"1985-11-01 00:00:00",101.1246
"1985-12-01 00:00:00",101.254
"1986-01-01 00:00:00",101.3722
"1986-02-01 00:00:00",101.4257
"1986-03-01 00:00:00",101.4338
"1986-04-01 00:00:00",101.4266
"1986-05-01 00:00:00",101.4161
"1986-06-01 00:00:00",101.424
"1986-07-01 00:00:00",101.3932
"1986-08-01 00:00:00",101.3397
"1986-09-01 00:00:00",101.2953
"1986-10-01 00:00:00",101.2781
"1986-11-01 00:00:00",101.2055
"1986-12-01 00:00:00",101.1341
"1987-01-01 00:00:00",101.1232
"1987-02-01 00:00:00",101.1624
"1987-03-01 00:00:00",101.2204
"1987-04-01 00:00:00",101.2817
"1987-05-01 00:00:00",101.3156
"1987-06-01 00:00:00",101.3689
"1987-07-01 00:00:00",101.4371
"1987-08-01 00:00:00",101.4699
"1987-09-01 00:00:00",101.4324
"1987-10-01 00:00:00",101.3167
"1987-11-01 00:00:00",101.2118
"1987-12-01 00:00:00",101.2596
"1988-01-01 00:00:00",101.3845
"1988-02-01 00:00:00",101.4931
"1988-03-01 00:00:00",101.5644
"1988-04-01 00:00:00",101.5895
"1988-05-01 00:00:00",101.6219
"1988-06-01 00:00:00",101.6506
"1988-07-01 00:00:00",101.6952
"1988-08-01 00:00:00",101.7774
"1988-09-01 00:00:00",101.8187
"1988-10-01 00:00:00",101.8004
"1988-11-01 00:00:00",101.7601
"1988-12-01 00:00:00",101.7156
"1989-01-01 00:00:00",101.6892
"1989-02-01 00:00:00",101.5794
"1989-03-01 00:00:00",101.4073
"1989-04-01 00:00:00",101.2472
"1989-05-01 00:00:00",101.1588
"1989-06-01 00:00:00",101.1573
"1989-07-01 00:00:00",101.2314
"1989-08-01 00:00:00",101.332
"1989-09-01 00:00:00",101.4446
"1989-10-01 00:00:00",101.4427
"1989-11-01 00:00:00",101.391
"1989-12-01 00:00:00",101.3602
"1990-01-01 00:00:00",101.3404
"1990-02-01 00:00:00",101.2804
"1990-03-01 00:00:00",101.2236
"1990-04-01 00:00:00",101.1885
"1990-05-01 00:00:00",101.0981
"1990-06-01 00:00:00",100.9691
"1990-07-01 00:00:00",100.7474
"1990-08-01 00:00:00",100.36
"1990-09-01 00:00:00",99.93801
"1990-10-01 00:00:00",99.66137
"1990-11-01 00:00:00",99.59332
"1990-12-01 00:00:00",99.63412
"1991-01-01 00:00:00",99.72811
"1991-02-01 00:00:00",99.98821
"1991-03-01 00:00:00",100.3643
"1991-04-01 00:00:00",100.5003
"1991-05-01 00:00:00",100.4864
"1991-06-01 00:00:00",100.4401
"1991-07-01 00:00:00",100.3805
"1991-08-01 00:00:00",100.3382
"1991-09-01 00:00:00",100.2805
"1991-10-01 00:00:00",100.0935
"1991-11-01 00:00:00",99.83137
"1991-12-01 00:00:00",99.64419
"1992-01-01 00:00:00",99.59037
"1992-02-01 00:00:00",99.68744
"1992-03-01 00:00:00",99.85501
"1992-04-01 00:00:00",99.95503
"1992-05-01 00:00:00",99.95587
"1992-06-01 00:00:00",99.84579
"1992-07-01 00:00:00",99.64067
"1992-08-01 00:00:00",99.41577
"1992-09-01 00:00:00",99.22733
"1992-10-01 00:00:00",99.16998
"1992-11-01 00:00:00",99.30729
"1992-12-01 00:00:00",99.46599
"1993-01-01 00:00:00",99.53993
"1993-02-01 00:00:00",99.54146
"1993-03-01 00:00:00",99.5339
"1993-04-01 00:00:00",99.50422
"1993-05-01 00:00:00",99.38721
"1993-06-01 00:00:00",99.22746
"1993-07-01 00:00:00",99.09953
"1993-08-01 00:00:00",99.05038
"1993-09-01 00:00:00",99.07262
"1993-10-01 00:00:00",99.16887
"1993-11-01 00:00:00",99.34541
"1993-12-01 00:00:00",99.65065
"1994-01-01 00:00:00",99.96752
"1994-02-01 00:00:00",100.1827
"1994-03-01 00:00:00",100.3228
"1994-04-01 00:00:00",100.4671
"1994-05-01 00:00:00",100.6122
"1994-06-01 00:00:00",100.7335
"1994-07-01 00:00:00",100.8264
"1994-08-01 00:00:00",100.9315
"1994-09-01 00:00:00",101.0078
"1994-10-01 00:00:00",101.0353
"1994-11-01 00:00:00",101.0248
"1994-12-01 00:00:00",101.0059
"1995-01-01 00:00:00",100.9644
"1995-02-01 00:00:00",100.8425
"1995-03-01 00:00:00",100.7046
"1995-04-01 00:00:00",100.6601
"1995-05-01 00:00:00",100.6825
"1995-06-01 00:00:00",100.7785
"1995-07-01 00:00:00",100.8493
"1995-08-01 00:00:00",100.8332
"1995-09-01 00:00:00",100.7064
"1995-10-01 00:00:00",100.5948
"1995-11-01 00:00:00",100.5272
"1995-12-01 00:00:00",100.5115
"1996-01-01 00:00:00",100.5187
"1996-02-01 00:00:00",100.5545
"1996-03-01 00:00:00",100.6277
"1996-04-01 00:00:00",100.6489
"1996-05-01 00:00:00",100.6405
"1996-06-01 00:00:00",100.6611
"1996-07-01 00:00:00",100.6943
"1996-08-01 00:00:00",100.7328
"1996-09-01 00:00:00",100.75
"1996-10-01 00:00:00",100.7533
"1996-11-01 00:00:00",100.7395
"1996-12-01 00:00:00",100.713
"1997-01-01 00:00:00",100.7427
"1997-02-01 00:00:00",100.8282
"1997-03-01 00:00:00",100.9391
"1997-04-01 00:00:00",101.0799
"1997-05-01 00:00:00",101.2425
"1997-06-01 00:00:00",101.3937
"1997-07-01 00:00:00",101.4967
"1997-08-01 00:00:00",101.5205
"1997-09-01 00:00:00",101.5063
"1997-10-01 00:00:00",101.451
"1997-11-01 00:00:00",101.4049
"1997-12-01 00:00:00",101.3727
"1998-01-01 00:00:00",101.432
"1998-02-01 00:00:00",101.5179
"1998-03-01 00:00:00",101.5537
"1998-04-01 00:00:00",101.5611
"1998-05-01 00:00:00",101.5242
